ID_sonda;ID_poco;Local_da_sonda;Lat;Lon;Cota;Diam_sond;Diam_poco;Cx_conc;Cam_calc;Pesc_comp;VOC;Prof;NA_sond;NA_estab;Prof_coleta;Topo_liso;C_liso;C_sec_filtr;Cimento_i;Cimento_f;Bentonita_i;Bentonita_f;Prefiltro_i;Prefiltro_f;Pedologia;NA_FT01
;;;m;m;m;in;in;cm;cm;cm;ppm,ppm,...;m;m;m;m;m;m;m;m;m;m;m;m;m;[[prof,descrição,prof,descrição,...]];
SO-50;PM-50;CONFORME MAPA LOCAL;6670470.502;471076.068;8.189;6;2;1;x;;.2,.4,.5,.5,.6,.4,.5,1.8,.8,.5,.2,.2,.2,.6,.4,.6,.2,.3;3.9;2.75;1.7;1.6;0.08;0.82;3;0.15;0.28;0.28;0.5;0.5;3.9;[[0.25,PISO (CONCRETO),1.05,ARGILA SILTOSA MARROM ESCURA COMPACTA PLÁSTICA,1.45,ARGILA SILTE ARENOSA PRETA POUCO COMPACTA POUCO PLÁSTICA,1.65,ARGILA ARENOSA COM GRÃOS GROSSOS COMPACTA NÃO PLÁSTICA,3.9,ARGILA SILTOSA CINZA ESCURA POUCO COMPACTA POUCO PLÁSTICA]];3.81
SO-51;PM-51;CONFORME MAPA LOCAL;6670481.65;471082.469;8.076;6;2;3;x;;,1.3,3.2,3,3.4,.8,.6,2.6,.8,.8,0,.2,.2,.3,.2,0,0,.2;3.7;1.75;1.09;1;0.1;0.54;3;0.14;0.25;0.25;0.38;0.38;3.7;[[0.25,PISO (CONCRETO),0.52,ARGILA SILTOSA MARROM COMAPCTA PLÁSTICA,0.61,ARGILA SITLOSA CINZA ESCURA COMAPTCA PLÁSTICA,0.7,ARGILA ARENOSA CINZA ESCURA COMAPCTA NÃO PLÁSTICA,2.85,ARGILA SILTOSA CINZA ESCURA POUCO COMAPCTA PLÁSTICA,3.5,ARGILA SILTOSA NÃO COMPACTA NÃO PLÁSTICA CINZA ESCURA,3.7,ARGILA SILTOSA CINZA ESCURA POUCO COMPACTA PLÁSTICA]];3.54
SO-52;PM-52;CONFORME MAPA LOCAL;6670477.674;471069.137;8.174;6;2;1;x;;0,0,.3,.5,.6,.4,.5,.5,.4,.2,0,0,,,.5,.4,0,0;3.95;2.64;1.63;1;0.1;0.85;3;0.15;0.27;0.27;0.55;0.55;3.95;[[0.24,PISO (CONCRETO),0.9,ARGILA SILTOSA MARROM AVERMELHADA COMPACTA PLÁSTICA,1.28,ARGILA SILTE ARENOSA CINZA ESCURA POUCO COMPACTA NÃO PLÁSTICA,2.94,ARGILA SILTOSA CINZA ESCURO COM PARTES AMARELO OCRE POUCO COMAPCTA POUCO PLÁSTICA,3.2,ARGILA ARENOSA CINZA NÃO COMPACTA NÃO PLÁSTICA,3.95,ARGILA SILTE ARENOSA CINZA POUCO COMAPCTA POUCO PLÁSTICA]];3.85
SO-53;PM-53;CONFORME MAPA LOCAL;6670492.496;471065.904;7.695;6;2;1.5;x;;0,0,0,0,.2,0,0,.2,.8,.2,0,0,.5,0,0,0,.2,0;3.7;1.85;1.42;1.8;0.13;0.52;3;0.18;0.25;0.25;0.35;0.35;3.7;[[0.2,PISO (CONCRETO),.38,ARGILA SILTOSA MARROM ESCURA COMPACTA PLÁSTICA,0.8,ARGILA SILTOSA CINZA ESCURA POUCO COMPACTA POUCO PLÁSTICA,2.8,ARGILA SILTOSA CINZA ESVERDEADA COMPACTA PLÁSTICA,3.3,ARGILA SILTOSA PRETA NÃO COMPACTA NÃO PLÁSTICA,3.7,ARGILA SILTOSA CINZA COM PARTES AMARELO OCRE COMPACTA PLÁSTICA]];3.52
SO-54;PM-54;CONFORME MAPA LOCAL;6670477.85;471058.771;8.201;6;2;1;x;;.2,0,.2,.2,.2,0,.2,.5,.4,.2,0,0,0,0,.2,.4,0,0,0;3.95;2.81;1.7;1.6;0.1;0.83;3;0.16;0.3;0.3;0.6;0.6;3.95;[[0.25,PISO (CONCRETO),1.03,ARGILA SILTOSA MARROM AVERMELHADA COM PARTES AMARELO OCRE COMAPCTA PLÁSTICA,3.2,ARGILA SILTOSA CINZA ESCURA COMPACTA PLÁSTICA,3.95,ARGILA SILTOSA CINZA ESCURA POUCO COMPACTA NÃO PLÁSTICA]];3.83
SO-55;PM-55;CONFORME MAPA LOCAL;6670500.658;471055.627;7.722;6;2;2;x;;361.4,712.7,288.4,195.6,247.4,312.6,249.4,547.2,475.4,2659,586.1,295.7,187.4,924.1,48.6,5.9,2.7,3.1;3.7;1.85;1.59;2;0.14;0.5;3;0.19;0.25;0.25;0.35;0.35;3.7;[[0.2,PISO (CONCRETO),0.39,ARGILA SILTOSA MARROM COMAPCTA PLÁSTICA,0.7,ARGILA ARENOSA CINZA COMPACTA NÃO PLÁSTICA (ODOR),2.7,ARGILA SILTOAS CINZA ESCURA POUCO COMAPCTA PLÁSTICA,3.5,ARGILA SILTOSA CINZA NÃO COMPACTA NÃO PLÁSTICA,3.7,ARGILA SILTOSA MARROM ESCURA POUCO COMAPCTA POUCO PLÁSTICA]];3.5
SO-56;PM-56;CONFORME MAPA LOCAL;6670492.902;471041.22;7.771;6;2;3;x;;.6,1.2,.6,1.4,3.6,2.2,1.6,1.4,1.8,0.5,0,0,,,,0,0.2,0;4.3;1.95;1.49;1;0.1;1.2;3;0.14;0.25;0.21;0.6;0.6;4.3;[[0.15,PARALELEPÍPEDO,0.68,ARGILA ARENOSA MARROM ESCURA COMPACTA NÃO PLÁSTICA,2.4,ARGILA SILTOSA CINZA ESCURA COMPACTA PLÁSTICA,3.2,ARGILA SILTOSA CINZA NÃO COMPACTA NÃO PLÁSTICA,4.3,ARGILA SILTOSA CINZA ESCURA POUCO COMPACTA POUCO PLÁSTICA]];3.9
SO-57;PM-57;CONFORME MAPA LOCAL;6670504.269;471048.741;7.852;6;2;4;x;;.8,4.6,13.4,8.6,3.2,11.4,12,37.9,10.9,10.2,9.6,10.4,0.4,0,0,0,0,0;4;1.85;1.71;1.6;0.1;0.9;3;0.15;0.29;0.29;0.63;0.63;4;[[0.15,PARALELEPÍPEDO,0.35,SAIBRO GROSSO MARROM ESCURO COMPACTO NÃO PLÁSTICO,1.55,ARGILA SILTOSA CINZA ESCURA COMAPCTA PLÁSTICA,2.5,ARGILA SILTOSA CINZA ESCURA COM SEIXOS AMARELO OCRE E GRÃO COMPACTA PLÁSTICO,3.05,ARGILA SILTOSA CINZA ESCURA NÃO COMPACTA NÃO PLÁSTICA,4,ARGILA SILTOSA PRETA COM SEIXOS AMARELO OCRE POUCO COMPACTA POUCO PLÁSTICA]];3.91
SO-58;PM-58;CONFORME MAPA LOCAL;6670507.339;471067.467;7.719;6;2;2;x;;0.2,0,0,0.4,0,0.9,1.2,1,0.9,0,0,0.2,0,0,0,0,0,0;3.7;1.75;1.45;1.4;0.12;0.5;3;0.16;0.25;0.25;0.36;0.36;3.7;[[0.2,PISO (CONCRETO),0.65,ARGILA SILTOSA MARROM ESCURA COMPACTA PLÁSTICA,1.6,ARGILA SILTOSA CINZA ESCURA POUCO COMPACTA PLÁSTICA,2.9,ARGILA SILTOSA CINZA ESCURA COM PARTES AMARELO OCRE POUCO COMAPCTAP LA´STICA,3.7,ARGILA SITLOSA PRETA NÃO COMPACTA NÃO PLÁSTICA]];3.5
SO-59;PM-59;CONFORME MAPA LOCAL;6670495.648;471076.288;7.981;6;2;2;x;;,2.9,27.4,4.9,9.6,169.4,189.2,38.6,53.1,7.4,100.6,718.6,79.8,19.8,7.4,3.1,2.6,1.8;3.68;2.08;1.42;2.4;0.1;0.51;3;0.14;0.22;0.22;0.37;0.37;3.68;[[0.22,PISO (CONCRETO),0.7,ARGILA SILTOSA MARROM ESCURA COMPACTA PLÁSTICA,0.8,CAMADA SAIBRO CINZA ESCURO COMPACTO NÃO PLÁSTICO,3.2,ARGILA SILTOSA CINZA ESCURA COMPACTA PLÁSTICA,3.68,ARGILA SILTOSA CINZA ESVERDEADA POUCO COMPACTA POUCO PLÁSTICA]];3.51
SO-60;PM-60;CONFORME MAPA LOCAL;6670493.183;471086.242;8.259;6;2;2;x;;10.5,22.2,17.4,95.1,18.7,10.6,2.8,4.1,3.5,3.4,4.5,5.5,0.3,0.2,0.6,0.3,0.2,0.2;3.7;1.7;1.05;0.8;0.12;0.51;3;0.17;0.25;0.25;0.35;0.35;3.7;[[0.25,PISO (CONCRETO),0.35,ARGILA SILTOSA MARROM ESCURA COMAPCTA PLÁSTICA,0.9,ARGILA SILTOSA CINZA ESCURA COMPACTA PLÁSTICA,1.05,SAIBRO GROSSO ARENOSA CINZA ESCURO COMPACTO PLÁSTICO,3,ARGILA SILTOSA CINZA COM PARTES AMARELO OCRE COMPACTA PLÁSTICA,3.7,ARGILA SILTOSA CINZA ESCURA COM SEIXOS AMARELO POUCO COMPACTA PLÁSTICA]];3.5
SO-61;PM-61;CONFORME MAPA LOCAL;6670495.648;471076.288;7.981;6;2;2;x;;,2.9,27.4,4.9,9.6,169.4,189.2,38.6,53.1,7.4,100.6,718.6,79.8,19.8,7.4,3.1,2.6,1.8;1.6;1;1;1;0.1;0.5;1;0.14;0.22;0.22;0.37;0.37;1.6;[[0.22,PISO (CONCRETO),0.7,ARGILA SILTOSA MARROM ESCURA COMPACTA PLÁSTICA,0.8,CAMADA SAIBRO CINZA ESCURO COMPACTO NÃO PLÁSTICO,1.2,ARGILA SILTOSA CINZA ESCURA COMPACTA PLÁSTICA,1.6,ARGILA SILTOSA CINZA ESVERDEADA POUCO COMPACTA POUCO PLÁSTICA]];3.51
SO-62;PM-62;CONFORME MAPA LOCAL;6670493.183;471086.242;8.259;6;2;2;x;;10.5,22.2,17.4,95.1,18.7,10.6,2.8,4.1,3.5,3.4,4.5,5.5,0.3,0.2,0.6,0.3,0.2,0.2;1.7;1;1;1;0.1;0.5;1.1;0.17;0.25;0.25;0.35;0.35;1.7;[[0.25,PISO (CONCRETO),0.35,ARGILA SILTOSA MARROM ESCURA COMAPCTA PLÁSTICA,0.9,ARGILA SILTOSA CINZA ESCURA COMPACTA PLÁSTICA,1.05,SAIBRO GROSSO ARENOSA CINZA ESCURO COMPACTO PLÁSTICO,1.5,ARGILA SILTOSA CINZA COM PARTES AMARELO OCRE COMPACTA PLÁSTICA,1.7,ARGILA SILTOSA CINZA ESCURA COM SEIXOS AMARELO POUCO COMPACTA PLÁSTICA]];3.5
SO-63;PM-63;CONFORME MAPA LOCAL;6670493.183;471086.242;8.259;6;2;2;x;;10.5,22.2,17.4,95.1,18.7,10.6,2.8,4.1,3.5,3.4,4.5,5.5,0.3,0.2,0.6,0.3,0.2,0.2;1.7;1;1;1;0.1;0.5;1.1;0.17;0.25;0.25;0.35;0.35;1.7;[[0.25,PISO (CONCRETO),0.35,ARGILA SILTOSA MARROM ESCURA COMAPCTA PLÁSTICA,0.9,ARGILA SILTOSA CINZA ESCURA COMPACTA PLÁSTICA,1.05,SAIBRO GROSSO ARENOSA CINZA ESCURO COMPACTO PLÁSTICO,1.5,ARGILA SILTOSA CINZA COM PARTES AMARELO OCRE COMPACTA PLÁSTICA,1.7,ARGILA SILTOSA CINZA ESCURA COM SEIXOS AMARELO POUCO COMPACTA PLÁSTICA]];3.5
